dataset,rank,feature,mean_abs_lime
NSL-KDD,1,src_bytes,0.2805516968464692
NSL-KDD,2,service_private,0.23945109313833887
NSL-KDD,3,service_ecr_i,0.18577699589374538
NSL-KDD,4,protocol_type_icmp,0.18014759603650826
NSL-KDD,5,hot,0.15519251801617392
NSL-KDD,6,dst_bytes,0.1337602422435808
NSL-KDD,7,dst_host_same_srv_rate,0.10241247053455578
NSL-KDD,8,flag_RSTOS0,0.09258554331167827
NSL-KDD,9,service_shell,0.0922093435102525
NSL-KDD,10,service_pop_2,0.09159993011748285
RT-IoT2022,1,fwd_iat.std,0.008263628702062091
RT-IoT2022,2,fwd_iat.min,0.007568431714790307
RT-IoT2022,3,fwd_URG_flag_count,0.006637899873091372
RT-IoT2022,4,fwd_pkts_payload.min,0.005504708386509485
RT-IoT2022,5,fwd_last_window_size,0.005429027221880554
RT-IoT2022,6,service_mqtt,0.00485771390398087
RT-IoT2022,7,flow_pkts_payload.avg,0.004679499444437172
RT-IoT2022,8,flow_iat.std,0.004266335763468892
RT-IoT2022,9,service_ntp,0.0037084234300744294
RT-IoT2022,10,service_dns,0.003328660929898971
